cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
505255,OTHELLO NURSING & REHAB,495 NORTH THIRTEENTH STREET,OTHELLO,WA,99344,5094889609,000,Adams,For profit - Limited Liability company,39,29.3,NA,Medicare and Medicaid,N,OTHELLO NURSING & REHAB LLC,1980-12-01,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,5,NA,5,NA,4,NA,3,NA,NA,NA,2.59229,0.37365,1.02173,1.39538,3.98767,3.54264,0.66265,0.04068,46.9,NA,62.5,NA,1,NA,1.49221,1.08016,2.48768,0.93775,0.73206,4.15748,3.67684,2.38677,0.34403,0.94073,3.67153,3.26178,2024-10-11,17,16,1,96,1,0,96,2023-05-12,11,5,6,96,1,0,96,96,1,4,0,1,8823.75,0,1,"495 NORTH THIRTEENTH STREET,OTHELLO,WA,99344",46.8311,-119.16,NA,2025-07-01
505257,ALDERWOOD MANOR,3600 EAST HARTSON AVENUE,SPOKANE,WA,99202,5095352071,310,Spokane,For profit - Partnership,85,56.8,NA,Medicare and Medicaid,N,CONSOLIDATED RESOURCES HEALTH CARE FUND I LP,1981-09-01,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,NA,N,N,N,Resident,Yes,3,NA,2,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.22011,0.82584,0.9593,1.78514,4.00525,3.23771,0.56794,0.07097,59.7,NA,56.3,NA,0,NA,1.4705,1.06444,2.45148,0.9241,0.7214,4.09698,3.62334,2.07429,0.7716,0.89629,3.74217,3.02505,2024-10-30,23,22,1,136,1,0,136,2023-07-07,29,18,16,216,1,0,216,156,3,13,1,1,32214,0,1,"3600 EAST HARTSON AVENUE,SPOKANE,WA,99202",47.65,-117.36,NA,2025-07-01
505260,HUDSON BAY HEALTH AND REHABILITATION,8507 NORTHEAST 8TH WAY,VANCOUVER,WA,98664,3602545335,050,Clark,For profit - Limited Liability company,92,76.3,NA,Medicare and Medicaid,N,"FORT VANCOUVER OF CASCADIA, LLC",1981-10-16,CASCADIA HEALTHCARE,118,44,3.1,2.9,2.9,4,N,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.147,0.8582,0.90895,1.76714,3.91415,3.41582,0.73003,0.05283,71.7,NA,41.7,NA,2,NA,1.51562,1.0971,2.52671,0.95246,0.74354,4.22272,3.73454,1.94625,0.77795,0.82396,3.54815,3.09642,2025-04-24,6,5,1,28,1,0,28,2024-06-07,7,4,4,144,1,0,144,57,0,5,0,4,73203,0,4,"8507 NORTHEAST 8TH WAY,VANCOUVER,WA,98664",45.6268,-122.59,NA,2025-07-01
505261,LAKE RIDGE CENTER,817 EAST PLUM STREET,MOSES LAKE,WA,98837,5097657835,120,Grant,For profit - Limited Liability company,74,65.6,NA,Medicare and Medicaid,N,SUNBRIDGE HEALTHCARE LLC,1982-01-01,GENESIS HEALTHCARE,237,215,2.3,2.3,2.5,3.2,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,2,NA,2,NA,1,NA,3,NA,NA,NA,2.48425,0.69386,0.56655,1.26041,3.74467,3.30741,0.30909,0.01229,54.2,NA,45.5,NA,0,NA,1.29074,0.93432,2.15181,0.81114,0.63322,3.59616,3.18041,2.64432,0.73856,0.60306,3.98595,3.52052,2025-05-09,15,11,6,136,0,0,136,2024-06-17,13,13,1,60,1,0,60,117,6,4,NA,0,0,0,0,"817 EAST PLUM STREET,MOSES LAKE,WA,98837",47.1284,-119.26,NA,2025-07-01
505262,SHORELINE HEALTH AND REHABILITATION,2818 NORTHEAST 145TH STREET,SEATTLE,WA,98155,2064182900,160,King,For profit - Corporation,114,81.5,NA,Medicare and Medicaid,N,"LAKE WASHINGTON HEALTHCARE, INC.",1982-04-01,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,Y,NA,N,N,N,Resident,Yes,5,NA,4,NA,5,NA,4,NA,5,NA,4,NA,NA,NA,2.45853,0.74648,0.74543,1.49192,3.95044,3.31578,0.70066,0.12447,16.2,NA,9.1,NA,0,NA,1.51074,1.09357,2.51858,0.94939,0.74115,4.20912,3.72251,2.23584,0.67887,0.67792,3.59262,3.01544,2024-12-19,13,13,0,68,1,0,68,2023-10-02,13,12,2,68,1,0,68,68,0,1,0,0,0,0,0,"2818 NORTHEAST 145TH STREET,SEATTLE,WA,98155",47.7338,-122.3,NA,2025-07-01
505263,MOUNTAIN VIEW POST ACUTE,1050 E MOUNTAIN VIEW,ELLENSBURG,WA,98926,5099254171,180,Kittitas,For profit - Limited Liability company,74,62.6,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1981-12-21,PRESTIGE CARE,417,23,2.7,2.7,3.2,3.6,N,NA,Y,N,N,Resident,Yes,1,NA,1,NA,4,NA,5,NA,3,NA,2,NA,NA,NA,2.22318,0.88868,0.71946,1.60813,3.83131,3.24303,0.44477,0.10046,59.4,NA,78.6,NA,2,NA,1.40265,1.01533,2.33837,0.88146,0.68812,3.90796,3.45617,2.17762,0.87046,0.70471,3.75279,3.17657,2025-01-14,33,25,8,196,1,0,196,2023-12-21,20,12,8,184,1,0,184,193,4,18,2,5,244169.25,0,5,"1050 E MOUNTAIN VIEW,ELLENSBURG,WA,98926",46.9846,-120.53,NA,2025-07-01
505264,AVAMERE AT PACIFIC RIDGE,3625 EAST B STREET,TACOMA,WA,98404,2534752507,260,Pierce,For profit - Corporation,102,70.6,NA,Medicare and Medicaid,N,"TACOMA REHAB, LLC",1982-04-01,AVAMERE,58,33,2.6,2.4,3.6,3.5,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,NA,2,4,NA,NA,NA,3.52018,1.23395,0.5033,1.73726,5.25743,4.66124,0.35394,0.04732,48.2,NA,76.9,NA,0,NA,1.27837,0.92537,2.13119,0.80336,0.62715,3.5617,3.14994,3.78325,1.32617,0.54092,5.65033,5.00959,2025-03-27,29,25,4,232,1,0,232,2024-04-26,17,11,6,88,1,0,88,196,3,13,NA,3,88895,0,3,"3625 EAST B STREET,TACOMA,WA,98404",47.226,-122.43,NA,2025-07-01
505265,EMERALD CARE,209 NORTH AHTANUM AVENUE,WAPATO,WA,98951,5098773175,380,Yakima,Non profit - Corporation,82,75.8,NA,Medicare and Medicaid,N,EMERALD CARE,1982-06-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,4,NA,4,NA,NA,2,3,NA,NA,NA,2.39011,0.67267,0.59579,1.26846,3.65857,3.02433,0.48632,0.02696,25.3,NA,33.3,NA,0,NA,1.47678,1.06899,2.46195,0.92805,0.72449,4.11449,3.63882,2.22362,0.62582,0.55429,3.40372,2.81366,2025-02-04,6,5,1,40,1,0,40,2024-03-05,3,3,0,16,1,0,16,34,1,0,0,0,0,0,0,"209 NORTH AHTANUM AVENUE,WAPATO,WA,98951",46.448,-120.43,NA,2025-07-01
505269,VANCOUVER SPECIALTY AND REHAB CARE,1015 NORTH GARRISON ROAD,VANCOUVER,WA,98664,3606947501,050,Clark,For profit - Individual,104,89.5,NA,Medicare and Medicaid,N,1015 NORTH GARRISON LLC,1982-07-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,4,NA,4,NA,3,NA,2,NA,NA,NA,2.3415,1.36639,0.5556,1.92199,4.2635,3.71546,0.51041,0.09239,40.2,NA,46.7,NA,0,NA,1.99361,1.4431,3.32356,1.25284,0.97804,5.55444,4.9123,1.61366,0.94166,0.3829,2.93821,2.56053,2025-01-09,10,9,3,48,1,0,48,2024-03-21,7,2,6,44,1,0,44,47,1,7,NA,2,58607.25,1,3,"1015 NORTH GARRISON ROAD,VANCOUVER,WA,98664",45.6286,-122.59,NA,2025-07-01
505270,AVAMERE REHABILITATION AT PARK WEST,1703 CALIFORNIA AVENUE SOUTHWEST,SEATTLE,WA,98116,2069379750,160,King,For profit - Corporation,137,92.8,NA,Medicare and Medicaid,N,SW SEATTLE OPERATIONS LLC,1982-11-01,AVAMERE,58,33,2.6,2.4,3.6,3.5,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,2.62069,1.03669,0.64032,1.67701,4.2977,3.85977,0.4442,0.0492,47.8,NA,25,NA,3,NA,1.358,0.98301,2.26394,0.85341,0.66622,3.78357,3.34616,2.65138,1.04883,0.64782,4.34803,3.90497,2024-04-22,20,19,1,136,1,0,136,2023-02-03,17,8,9,299,1,0,299,176.75,3,3,3,2,77584.65,0,2,"1703 CALIFORNIA AVENUE SOUTHWEST,SEATTLE,WA,98116",47.588,-122.39,NA,2025-07-01
505272,LIFE CARE CENTER OF MOUNT VERNON,2120 EAST DIVISION STREET,MOUNT VERNON,WA,98273,3604244258,280,Skagit,For profit - Corporation,121,65.2,NA,Medicare and Medicaid,N,"MT. VERNON OPERATIONS, LLC",1982-12-01,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,NA,Y,N,N,None,Yes,2,NA,1,NA,5,NA,5,NA,4,NA,3,NA,NA,NA,2.35264,0.67623,1.01131,1.68754,4.04018,3.50692,0.6362,0.09113,58.6,NA,62.5,NA,1,NA,1.51085,1.09365,2.51875,0.94946,0.7412,4.20941,3.72277,2.1394,0.61494,0.91965,3.67398,3.18905,2025-04-09,32,26,9,271,1,0,271,2024-05-01,43,20,24,272,1,0,272,271.25,15,26,0,2,118365,0,2,"2120 EAST DIVISION STREET,MOUNT VERNON,WA,98273",48.4217,-122.35,NA,2025-07-01
505273,LACAMAS CREEK POST ACUTE,740 NE DALLAS STREET,CAMAS,WA,98607,3608345055,050,Clark,For profit - Limited Liability company,83,NA,10,Medicare and Medicaid,N,"CARE CENTER CAMAS, INC",1983-04-01,PRESTIGE CARE,417,23,2.7,2.7,3.2,3.6,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,2,NA,1,NA,2,NA,NA,2,25,6,NA,NA,NA,NA,NA,NA,NA,NA,60.8,NA,40,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-09-27,6,6,0,24,1,0,24,2023-10-31,23,21,3,144,1,0,144,54,1,5,0,0,0,0,0,"740 NE DALLAS STREET,CAMAS,WA,98607",45.5888,-122.41,NA,2025-07-01
505275,"COLVILLE OF CASCADIA, LLC",1000 EAST ELEP STREET,COLVILLE,WA,99114,5096842573,320,Stevens,For profit - Corporation,92,58.6,NA,Medicare and Medicaid,N,COLVILLE OF CASCADIA LLC,1983-09-01,CASCADIA HEALTHCARE,118,44,3.1,2.9,2.9,4,N,SFF Candidate,Y,N,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,3,NA,1,24,NA,NA,2.40751,0.8609,0.57621,1.43711,3.84462,3.0433,0.23506,0.07045,66.2,NA,78.6,NA,1,NA,1.4386,1.04135,2.39831,0.90406,0.70576,4.00813,3.54476,2.29923,0.82218,0.5503,3.67171,2.90643,2025-05-23,33,30,3,623,0,0,623,2024-05-16,16,11,6,96,1,0,96,491.25,4,10,0,2,18723.25,0,2,"1000 EAST ELEP STREET,COLVILLE,WA,99114",48.54,-117.89,NA,2025-07-01
505276,FRONTIER REHAB & EXTENDED CARE,1500 3RD AVENUE,LONGVIEW,WA,98632,3604238800,070,Cowlitz,For profit - Corporation,140,93.7,NA,Medicare and Medicaid,N,FRONTIER SNF OPERATIONS LLC,1983-07-01,EMPRES OPERATED BY EVERGREEN,665,39,2.5,2.4,3.3,3.1,N,NA,Y,N,N,Resident,Yes,2,NA,2,NA,4,NA,5,NA,2,NA,4,NA,NA,NA,2.4744,1.10648,0.4434,1.54988,4.02427,3.57629,0.29317,0,37.1,NA,14.3,NA,NA,26,1.28264,0.92846,2.13831,0.80605,0.62925,3.5736,3.16046,2.65046,1.18521,0.47495,4.31061,3.83076,2025-02-07,14,13,4,92,1,0,92,2024-04-19,2,2,0,4,1,0,4,70,2,0,0,1,184680,0,1,"1500 3RD AVENUE,LONGVIEW,WA,98632",46.137,-122.92,NA,2025-07-01
505280,RENTON HEALTH & REHABILITATION,80 SOUTHWEST SECOND STREET,RENTON,WA,98057,4252264610,160,King,For profit - Corporation,99,78.2,NA,Medicare and Medicaid,N,SOUTHWEST 2ND STREET HEALTHCARE LLC,1984-04-01,VERTICAL HEALTH SERVICES,636,17,1.6,1.9,1.5,3.3,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,2.73548,0.6208,1.09279,1.71359,4.44908,3.6908,0.72753,0.08998,45.8,NA,23.5,NA,2,NA,1.44,1.04236,2.40064,0.90493,0.70644,4.01201,3.54819,2.60993,0.59231,1.04264,4.24488,3.5214,2024-09-16,19,18,1,96,1,0,96,2023-05-24,38,25,15,458,1,0,458,186.5,7,8,NA,3,270112.12,0,3,"80 SOUTHWEST SECOND STREET,RENTON,WA,98057",47.4822,-122.22,NA,2025-07-01
505283,CLARKSTON HEALTH AND REHAB OF CASCADIA,1242 ELEVENTH STREET,CLARKSTON,WA,99403,5097582523,010,Asotin,For profit - Partnership,90,77.2,NA,Medicare and Medicaid,N,"CLARKSTON OF CASCADIA, LLC",1984-01-01,CASCADIA HEALTHCARE,118,44,3.1,2.9,2.9,4,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,3,NA,4,NA,4,NA,NA,NA,2.11265,0.31682,1.19012,1.50694,3.61959,3.13131,0.88607,0.14574,30.7,NA,23.1,NA,0,NA,1.59174,1.1522,2.6536,1.00029,0.78088,4.43478,3.92208,1.82353,0.27346,1.02725,3.12424,2.70279,2024-01-26,21,16,6,124,1,0,124,2022-10-28,21,11,10,132,1,0,132,126,3,16,3,2,82195.75,0,2,"1242 ELEVENTH STREET,CLARKSTON,WA,99403",46.4063,-117.05,NA,2025-07-01
505289,BIRCH CREEK POST ACUTE & REHABILITATION,5601 S ORCHARD STREET,TACOMA,WA,98409,2534748421,260,Pierce,For profit - Limited Liability company,124,116.2,NA,Medicare and Medicaid,N,TACOMA SNF OPERATIONS LLC,1984-07-01,HILL VALLEY HEALTHCARE,270,40,2.3,2.1,1.8,3.9,N,NA,N,N,N,Resident,Yes,3,NA,2,NA,5,NA,5,NA,4,NA,3,NA,NA,NA,2.14641,0.91709,0.64808,1.56517,3.71159,3.3465,0.50484,0.02591,50.5,NA,35,NA,0,NA,1.39116,1.00701,2.31922,0.87424,0.68248,3.87595,3.42785,2.11979,0.90572,0.64004,3.66555,3.30499,2025-03-14,29,23,6,168,1,0,168,2024-05-23,18,12,6,136,1,0,136,160,1,8,NA,0,0,0,0,"5601 S ORCHARD STREET,TACOMA,WA,98409",47.2065,-122.5,NA,2025-07-01
505290,BELMONT TERRACE,560 LEBO BOULEVARD,BREMERTON,WA,98310,3604791515,170,Kitsap,For profit - Limited Liability company,102,69.8,NA,Medicare and Medicaid,N,OLYMPIC MARMOT HEALTHCARE LLC,1984-12-19,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,4,NA,5,NA,4,NA,3,NA,NA,NA,2.47567,0.75546,0.981,1.73646,4.21213,3.52655,0.78054,0.05691,58.1,NA,56.5,NA,2,NA,1.42326,1.03024,2.37273,0.89441,0.69823,3.96537,3.50694,2.38983,0.72926,0.94699,4.06608,3.40427,2024-11-14,41,32,16,240,1,0,240,2023-10-13,24,14,10,156,1,0,156,219,10,13,NA,1,9750,0,1,"560 LEBO BOULEVARD,BREMERTON,WA,98310",47.5827,-122.63,NA,2025-07-01
505294,BEACON HILL REHABILITATION,128 BEACON HILL DRIVE,LONGVIEW,WA,98632,3604234060,070,Cowlitz,For profit - Corporation,67,55.9,NA,Medicare and Medicaid,N,"BEACON HILL HEALTHCARE, INC.",1985-06-20,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,4,NA,3,NA,5,NA,3,NA,NA,NA,2.24017,1.14776,0.54633,1.69409,3.93426,3.29822,0.29935,0.08375,40.3,NA,30,NA,1,NA,1.39938,1.01296,2.33292,0.87941,0.68652,3.89884,3.4481,2.19939,1.12687,0.53638,3.86264,3.23818,2025-03-07,4,4,1,32,1,0,32,2024-01-25,0,0,0,0,0,0,0,24,1,0,0,0,0,0,0,"128 BEACON HILL DRIVE,LONGVIEW,WA,98632",46.1738,-122.92,NA,2025-07-01
505296,AVALON HEALTHCARE - BELLINGHAM,3121 SQUALICUM PARKWAY,BELLINGHAM,WA,98225,3607346760,360,Whatcom,For profit - Corporation,105,68.2,NA,Medicare and Medicaid,N,Legal Business Name Not Available,1986-03-01,AVAMERE,58,33,2.6,2.4,3.6,3.5,N,NA,N,N,N,Resident,Yes,3,NA,2,NA,5,NA,4,NA,5,NA,2,NA,NA,NA,2.29355,0.93362,0.91188,1.84549,4.13904,3.58163,0.5913,0.13156,NA,26,NA,26,1,NA,1.64858,1.19334,2.74836,1.03601,0.80877,4.59314,4.06214,1.91142,0.77807,0.75995,3.44943,2.98489,2024-12-06,11,6,5,84,1,0,84,2024-01-11,29,7,23,243,1,0,243,123.75,13,15,1,4,251091.75,2,6,"3121 SQUALICUM PARKWAY,BELLINGHAM,WA,98225",48.7722,-122.47,NA,2025-07-01
505299,PUGET SOUND CARE,4001 CAPITOL MALL DR SOUTHWEST,OLYMPIA,WA,98502,3607549792,330,Thurston,For profit - Limited Liability company,108,93.2,NA,Medicare and Medicaid,N,"PUGET SOUND HEALTHCARE-OLYMPIA, LLC",1985-09-27,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,4,NA,5,NA,3,NA,4,NA,NA,NA,2.79156,0.98844,0.54297,1.5314,4.32296,3.65021,0.49559,0.07844,50.8,NA,36.4,NA,1,NA,1.36072,0.98497,2.26847,0.85511,0.66755,3.79113,3.35285,2.81861,0.99802,0.54823,4.36485,3.68559,2024-11-07,4,4,0,28,1,0,28,2023-10-13,8,6,2,56,1,0,56,35,0,3,0,1,8017.75,0,1,"4001 CAPITOL MALL DR SOUTHWEST,OLYMPIA,WA,98502",47.0418,-122.95,NA,2025-07-01
505303,REGENCY OMAK,901 SHUMWAY RD,OMAK,WA,98841,5098467700,230,Okanogan,For profit - Corporation,56,48.3,NA,Medicare and Medicaid,N,REGENCY OMAK LLC,1986-03-28,REGENCY PACIFIC MANAGEMENT,442,27,3.4,3.4,3.5,3.4,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,4,NA,3,NA,4,NA,4,NA,NA,NA,2.48963,0.47635,0.66863,1.14498,3.63461,3.054,0.33861,0.01712,37,NA,45.5,NA,0,NA,1.23924,0.89704,2.06595,0.77877,0.60796,3.45268,3.05352,2.76017,0.52811,0.74128,4.02957,3.38587,2024-10-11,9,7,2,36,1,0,36,2023-06-01,8,5,3,48,1,0,48,39,4,0,NA,1,19890,0,1,"901 SHUMWAY RD,OMAK,WA,98841",48.424,-119.51,NA,2025-07-01
505304,RAINIER REHABILITATION,920 12TH AVENUE SOUTHEAST,PUYALLUP,WA,98372,2538413422,260,Pierce,For profit - Corporation,117,110.6,NA,Medicare and Medicaid,N,WILDWOOD HEALTHCARE INC.,1986-08-11,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,3.18594,0.77808,1.22167,1.99975,5.1857,4.36293,1.12591,0.04968,28.5,NA,26.7,NA,0,NA,2.38098,1.72351,3.96936,1.49627,1.16808,6.63371,5.8668,1.8384,0.44898,0.70495,2.99232,2.51755,2024-07-11,0,0,0,0,0,0,0,2023-04-21,1,0,1,4,0,0,4,1,0,1,0,0,0,0,0,"920 12TH AVENUE SOUTHEAST,PUYALLUP,WA,98372",47.1809,-122.28,NA,2025-07-01
505306,LIFE CARE CENTER OF PORT TOWNSEND,751 KEARNEY STREET,PORT TOWNSEND,WA,98368,3603853555,150,Jefferson,For profit - Limited Liability company,94,42.6,NA,Medicare and Medicaid,N,CASCADE MEDICAL INVESTORS LIMITED PARTNERSHIP,1986-11-06,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,4,NA,3,NA,4,NA,3,NA,NA,NA,2.16098,0.31795,1.05704,1.37498,3.53597,3.13857,0.83294,0.1212,64,NA,60,NA,0,NA,1.34392,0.97281,2.24046,0.84456,0.65931,3.74433,3.31145,2.2092,0.32504,1.08062,3.61486,3.2086,2025-04-11,10,9,1,48,1,0,48,2024-02-23,6,4,2,44,1,0,44,47,0,3,NA,2,67307.5,0,2,"751 KEARNEY STREET,PORT TOWNSEND,WA,98368",48.1126,-122.77,NA,2025-07-01
505309,REGENCY COUPEVILLE REHAB AND NURSING CENTER,311 NORTHEAST 3RD STREET,COUPEVILLE,WA,98239,3606782273,140,Island,For profit - Limited Liability company,112,70,NA,Medicare and Medicaid,N,REGENCY COUPEVILLE LLC,1987-01-27,REGENCY PACIFIC MANAGEMENT,442,27,3.4,3.4,3.5,3.4,N,NA,N,N,N,Both,Yes,2,NA,2,NA,2,NA,2,NA,1,NA,3,NA,NA,NA,2.6279,1.00546,0.71113,1.7166,4.34449,3.80702,0.45084,0.07939,53.4,NA,50,NA,0,NA,1.66108,1.2024,2.76921,1.04387,0.8149,4.62799,4.09295,2.17357,0.83163,0.58819,3.59339,3.14884,2024-10-29,22,13,9,124,1,0,124,2023-11-22,35,28,9,216,1,0,216,147,8,6,0,2,190140.16,1,3,"311 NORTHEAST 3RD STREET,COUPEVILLE,WA,98239",48.2157,-122.68,NA,2025-07-01
505311,SEATTLE MEDICAL POST ACUTE CARE,555 16TH AVENUE,SEATTLE,WA,98122,2063248200,160,King,For profit - Limited Liability company,103,89.1,NA,Medicare and Medicaid,N,"SEATTLE SNF OPERATIONS, LLC",1987-04-03,EMPRES OPERATED BY EVERGREEN,665,39,2.5,2.4,3.3,3.1,N,NA,Y,N,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,NA,2,3,NA,NA,NA,3.34165,1.15532,0.97317,2.12849,5.47014,4.90479,0.71718,0,58.8,NA,47.6,NA,0,NA,2.06599,1.49549,3.44423,1.29832,1.01355,5.75611,5.09065,2.22224,0.7683,0.64717,3.6377100000000002,3.26174,2024-09-27,33,20,14,224,1,0,224,2023-06-02,22,15,7,140,1,0,140,203,15,9,NA,2,45963.5,0,2,"555 16TH AVENUE,SEATTLE,WA,98122",47.6067,-122.31,NA,2025-07-01
505313,HALLMARK MANOR,32300 FIRST AVENUE SOUTH,FEDERAL WAY,WA,98003,2538743580,160,King,For profit - Corporation,147,95.1,NA,Medicare and Medicaid,N,CONSOLIDATED RESOURCES HEALTH CARE FUND I LP,1987-05-28,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,5,NA,1,NA,4,NA,NA,NA,2.42925,0.73469,0.67714,1.41182,3.84107,3.50666,0.48435,0.00272,42.7,NA,33.3,NA,2,NA,1.34366,0.97263,2.24003,0.84439,0.65918,3.74361,3.31081,2.48393,0.75122,0.69238,3.92754,3.5856,2024-03-06,18,16,2,116,1,0,116,2022-11-08,20,17,3,152,1,0,152,125,2,3,0,1,32175,0,1,"32300 FIRST AVENUE SOUTH,FEDERAL WAY,WA,98003",47.3122,-122.33,NA,2025-07-01
505315,MIRA VISTA CARE CENTER,300 SOUTH 18TH STREET,MOUNT VERNON,WA,98274,3604241320,280,Skagit,For profit - Corporation,61,70.5,NA,Medicare and Medicaid,N,"LITTLE MOUNTAIN HEALTHCARE, INC.",1987-11-01,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,Y,N,N,Resident,Yes,2,NA,2,NA,4,NA,3,NA,4,NA,3,NA,NA,NA,2.03066,0.88616,0.67918,1.56535,3.596,3.082,0.53884,0.07238,45.6,NA,41.7,NA,0,NA,1.5532300000000001,1.12433,2.5894,0.97609,0.76199,4.32749,3.82719,1.79622,0.78386,0.60077,3.18084,2.72618,2024-07-25,15,8,8,80,1,0,80,2023-07-21,25,13,15,188,1,0,188,107,10,10,2,2,31668,0,2,"300 SOUTH 18TH STREET,MOUNT VERNON,WA,98274",48.4201,-122.32,NA,2025-07-01
